Ph ph,Dissolved O2 %,Conductivity uS/cm,Turbidity NTU,Battery %,Upload Time (Local),Class
6.87,44.9,180.4,565.1,93,27/02/2020 00:00,Normal
6.8,44.5,180.4,557,92,27/02/2020 00:01,Normal
6.655320514,44.64871391,179.2995327,556.2502838,99,27/02/2020 00:02,Replay
6.71,43.5,180.3,555,92,27/02/2020 00:03,Normal
6.7,41.7,180.2,557.8,92,27/02/2020 00:04,Normal
6.83,41.7,180.2,562.8,93,27/02/2020 00:05,Normal
6.374759695,41.7628563,193.9345883,563.4680555,91,27/02/2020 00:06,Replay
6.88,42.4,180.2,550.2,91,27/02/2020 00:07,Normal
6.87,43.1,180.2,563.4,89,27/02/2020 00:08,Normal
6.896372846,43.40424753,181.7709374,563.4353914,87,27/02/2020 00:09,Replay
6.76,42.6,180.2,544.6,92,27/02/2020 00:10,Normal
6.69,43.6,180.2,538.3,91,27/02/2020 00:11,Normal
6.785946208,43.56438612,157.8430757,538.8092225,90,27/02/2020 00:12,Replay
6.87,44,180.1,554.2,92,27/02/2020 00:13,Normal
6.69,42.6,180.1,538.2,90,27/02/2020 00:14,Normal
6.948628589,42.7381896,190.336762,537.3915238,100,27/02/2020 00:15,Replay
6.87,43.5,180.1,546.1,93,27/02/2020 00:16,Normal
6.85,45.6,180,551.3,90,27/02/2020 00:17,Normal
6.444600859,45.95435636,181.6020671,551.5343233,99,27/02/2020 00:18,Replay
6.68,46,180,535.4,91,27/02/2020 00:19,Normal
6.78,47.6,180,534.9,92,27/02/2020 00:20,Normal
6.866775693,47.80679117,187.5749169,534.6787758,97,27/02/2020 00:21,Replay
6.86,48.6,180,534.7,92,27/02/2020 00:22,Normal
6.7,47.2,180,543.8,92,27/02/2020 00:23,Normal
6.857295698,47.65769993,189.2946122,544.2055474,89,27/02/2020 00:24,Replay
6.87,47.3,180,550.5,90,27/02/2020 00:25,Normal
6.81,44.4,180,551.7,92,27/02/2020 00:26,Normal
6.750507155,44.54473813,183.2782529,551.2780439,96,27/02/2020 00:27,Replay
6.82,43.4,180.1,534.7,92,27/02/2020 00:28,Normal
6.8,44,180,530.9,89,27/02/2020 00:29,Normal
6.621432419,44.00770975,185.462141,531.5493115,88,27/02/2020 00:30,Replay
6.110268148,85.41495781,158.6092966,688.0692978,88.93264771,27/02/2020 00:30,DDoS
6.943454801,67.83498594,161.5831205,633.6706155,94.56176173,27/02/2020 00:30,DDoS
5.829297358,22.86709647,164.7208204,419.0506662,89.46767896,27/02/2020 00:30,DDoS
6.94540192,83.8213232,166.2758993,536.3017236,91.64368822,27/02/2020 00:30,DDoS
6.12723711,49.47380031,159.422801,374.7745582,87.74144211,27/02/2020 00:30,DDoS
6.231685219,58.26495784,180.0103449,350.1699825,90.18509761,27/02/2020 00:30,DDoS
5.886232787,33.55145297,167.414465,397.0507538,90.14368057,27/02/2020 00:30,DDoS
6.745851857,50.28065727,177.2110961,726.8318907,88.61614507,27/02/2020 00:30,DDoS
5.914777716,82.64283686,190.7687081,341.125679,98.08255352,27/02/2020 00:30,DDoS
6.555861708,87.45476855,187.3393607,580.6144508,98.84140222,27/02/2020 00:30,DDoS
5.815966778,59.01528702,195.7647997,519.0840232,91.64602576,27/02/2020 00:30,DDoS
6.418541159,51.0226836,189.4217401,586.0177661,90.6234811,27/02/2020 00:30,DDoS
7.01149955,54.64394255,173.861273,554.0256347,94.96532944,27/02/2020 00:30,DDoS
6.304239754,24.05055981,171.5617228,637.2710315,98.07852621,27/02/2020 00:30,DDoS
6.508470606,64.25969067,183.1911859,597.9434188,88.91446811,27/02/2020 00:30,DDoS
5.787396881,69.90240529,187.0235995,512.2164316,93.53428921,27/02/2020 00:30,DDoS
6.212098861,21.2895835,172.6579459,706.5330842,95.66119201,27/02/2020 00:30,DDoS
5.31457122,90.35274962,158.7342918,650.0048259,93.27785598,27/02/2020 00:30,DDoS
5.392091548,54.51524384,161.1997456,576.6520019,92.90084991,27/02/2020 00:30,DDoS
6.47188739,73.8960066,174.686122,437.6952561,89.09104043,27/02/2020 00:30,DDoS
6.917595764,23.16323906,178.814774,579.9573838,93.59902605,27/02/2020 00:30,DDoS
6.290582941,71.70792388,175.3588916,351.9965323,93.84161247,27/02/2020 00:30,DDoS
5.489687752,26.94283657,182.1535899,362.1749597,95.27085785,27/02/2020 00:30,DDoS
5.956044443,79.15083666,177.757136,665.162947,90.10265007,27/02/2020 00:30,DDoS
6.869673696,55.39880739,191.6832181,399.4879842,87.37633945,27/02/2020 00:30,DDoS
6.758681786,24.1120997,190.5537532,553.0189007,87.66719828,27/02/2020 00:30,DDoS
5.933880774,24.56661764,177.9641915,343.6986931,87.29584733,27/02/2020 00:30,DDoS
5.781220041,88.66027575,180.8524427,697.8407813,92.86894816,27/02/2020 00:30,DDoS
6.37873882,74.46254366,193.238596,662.6502318,93.25707411,27/02/2020 00:30,DDoS
6.412571153,72.14098964,185.5840344,474.1757294,87.63840233,27/02/2020 00:30,DDoS
7.089547349,61.52634922,160.2413291,520.7896545,91.38944728,27/02/2020 00:30,DDoS
5.742064144,27.74964922,161.0229278,399.8316286,98.57076349,27/02/2020 00:30,DDoS
6.261754818,89.38215059,187.1435524,520.4843088,87.88502045,27/02/2020 00:30,DDoS
7.109065483,77.75923935,172.1955625,497.3840689,89.60186395,27/02/2020 00:30,DDoS
5.462551303,24.94900758,159.8399334,610.1972335,89.86283201,27/02/2020 00:30,DDoS
5.56997072,76.09352114,191.3976896,731.7560896,97.30251127,27/02/2020 00:30,DDoS
6.879715114,56.00862126,167.5509352,529.1267143,92.54181133,27/02/2020 00:30,DDoS
6.695637257,63.50073168,181.6265837,373.329944,97.19861277,27/02/2020 00:30,DDoS
6.011935343,55.09376876,191.5304346,473.7161714,92.82207719,27/02/2020 00:30,DDoS
6.533022772,94.51021,181.3807433,556.8169918,98.3392964,27/02/2020 00:30,DDoS
6.337695922,69.93077666,189.2381527,456.5442558,88.20596486,27/02/2020 00:30,DDoS
5.675029258,85.87074901,186.2582732,537.8853224,96.98587926,27/02/2020 00:30,DDoS
